SCIENTIFIC NAME,TRADE NAME,INDICATION,ICD 10 CODE
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),TUBERCULOSIS,"A16.9, A16.7, A15, A16"
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),LOWER URINARY TRACT INFECTIONS,"N30.0, N33.0, N34.0"
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),ACUTE BACTERIAL PROSTATITIS,N41.0
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),ACUTE PANCREATITIS,K85
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),ACUTE PYELONEPHRITIS,N10
AMIKACIN,AMIKACIN 500MG/2ML VIAL 1'S (N),INTRA-ABDOMINAL INFECTIONS,"K35, K81, K57, K63, K26, S36"
AMINOPHYLLINE,AMINOPHYLLINE 25 MG/ML INJ 10ML(N),ANESTHESIA-SUPPORTIVE AGENTS/ ANAPHYLACTIC REACTIONS,"Y48, T41, T88.2, T88.5"
AMINOPHYLLINE,AMINOPHYLLINE 25 MG/ML INJ 10ML(N),BRADYCARDIA,R00.1
AMINOPHYLLINE,AMINOPHYLLINE 25 MG/ML INJ 10ML(N),CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),J44
"AMINO ACIDS, GLUCOSE, ELECTROLYTES",AMINOVEN INFANT 10% -250ML (N),MALNUTRITION/TPN,E46
"AMINO ACIDS, GLUCOSE, ELECTROLYTES",AMINOVEN  INFANT 10% -100 ML (N),MALNUTRITION/TPN,E46
AMIODARONE,AMIODARONE 150MG/3ML AMP (N),VENTRICULAR TACHYCARDIA,I47.2
AMIODARONE,AMIODARONE 150MG/3ML AMP (N),ARRHYTHMIA,I49
AMIODARONE,AMIODARONE 150MG/3ML AMP (N),CARDIOMYOPATHY,I42
AMIODARONE,AMIODARONE 150MG/3ML AMP (N),ATRIAL FIBRILLATION,I48
AMIODARONE,AMIODARONE 150MG/3ML AMP (N),SUPRAVENTRICULAR TACHYCARDIA,I47.1
AMIODARONE,AMIODARONE 150MG/3ML AMP (N),"ANESTHESIA-SUPPORTIVE AGENTS/ CARDIAC ARREST, CARDIOVASCULAR EMERGENCIES AND/OR DYSRHYTHMIAS","Y48, T41, T88.2, T88.5"
AMITRIPTYLINE,AMITRIPTYLINE 10MG TAB 28'S (N),DEPRESSION / MIGRAINE PROPHYLAXIS / NEUROPATHIC PAIN,"F32, F33, G43, G89"
AMITRIPTYLINE,AMITRIPTYLINE 25MG TAB 28'S(N),DEPRESSION / MIGRAINE PROPHYLAXIS / NEUROPATHIC PAIN,"F32, F33, G43, G89"
"TRIAMCINOLONE, NYSTATIN, NEOMYCIN, GRAMICIDIN",AMOCOMB CR 15G (N),FUNGAL INFECTIONS OF THE GENITAL TRACT - CANDIDIASIS OF VULVA AND VAGINA,B37.3
"TRIAMCINOLONE, NYSTATIN, NEOMYCIN, GRAMICIDIN",AMOCOMB CR 15G (N),"PERITONITIS, PERITONEAL DIALYSIS-RELATED PERITONITIS","K65.0, K65.1, K65.8, K65.9"
